matchday,penalty_taker,penalty_taker_position,penalty_taker_club,goalkeeper,score_before_penalty,minute,home_team,away_team,final_score,season,scored
32,Christian Günter,Linker Verteidiger,SC Freiburg,Timo Horn,1:0,23',SC Freiburg,1.FC Köln,3:2 ,2017/2018,0
32,Filip Kostic,Linkes Mittelfeld,Hamburger SV,Koen Casteels,1:2,90',VfL Wolfsburg,Hamburger SV,1:3 ,2017/2018,0
34,Wendell,Linker Verteidiger,Bayer 04 Leverkusen,Michael Esser,1:0,6',Bayer 04 Leverkusen,Hannover 96,3:2 ,2017/2018,0
33,Nuri Sahin,Defensives Mittelfeld,Borussia Dortmund,Diego Benaglio,0:0,35',Borussia Dortmund,VfL Wolfsburg,1:1 ,2009/2010,0
34,Miroslav Karhan,Zentrales Mittelfeld,1.FSV Mainz 05,Manuel Neuer,0:0,76',1.FSV Mainz 05,FC Schalke 04,0:0 ,2009/2010,0
30,Alfred Finnbogason,Mittelstürmer,FC Augsburg,Kevin Trapp,2:0,73',Eintracht Frankfurt,FC Augsburg,2:0 ,2020/2021,0
30,Fabian Klos,Mittelstürmer,Arminia Bielefeld,Ralf Fährmann,1:0,80',Arminia Bielefeld,FC Schalke 04,1:0 ,2020/2021,0
14,Levan Kobiashvili,Linkes Mittelfeld,FC Schalke 04,Peter Skov-Jensen,2:1,66',FC Schalke 04,VfL Bochum,2:1 ,2006/2007,0
17,Diego,Offensives Mittelfeld,SV Werder Bremen,Simon Jentzsch,1:0,34',SV Werder Bremen,VfL Wolfsburg,2:1 ,2006/2007,0
18,Miroslav Klose,Mittelstürmer,SV Werder Bremen,Robert Enke,2:0,70',SV Werder Bremen,Hannover 96,3:0 ,2006/2007,0
20,Marko Pantelic,Mittelstürmer,Hertha BSC,Frank Rost,0:0,9',Hertha BSC,Hamburger SV,2:1 ,2006/2007,0
22,Thomas Hitzlsperger,Zentrales Mittelfeld,VfB Stuttgart,Oka Nikolov,0:4,78',Eintracht Frankfurt,VfB Stuttgart,0:4 ,2006/2007,0
